Block Name,Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
internalMesh,98,0.015519,0,0.0857057,9,9.00041,-7.01223e-09,-1.0362e-07,0.425411,0.425411
internalMesh,99,0.015519,0,0.0978983,9,9.00053,-8.60057e-09,-1.12477e-07,0.421549,0.421549
internalMesh,100,0.015519,0,0.0978983,9,9.00053,-8.60057e-09,-1.12477e-07,0.421549,0.421549
internalMesh,101,0.015519,0,0.100181,9,9.00056,-8.91967e-09,-1.13807e-07,0.420729,0.420729
internalMesh,102,0.015519,0,0.100181,9,9.00056,-8.91967e-09,-1.13807e-07,0.420729,0.420729
internalMesh,103,0.015519,0,0.100181,9,9.00056,-8.91967e-09,-1.13807e-07,0.420729,0.420729
internalMesh,104,0.015519,0,0.11007,9,9.00067,-1.03025e-08,-1.1957e-07,0.417178,0.417178
internalMesh,105,0.015519,0,0.11007,9,9.00067,-1.03025e-08,-1.1957e-07,0.417178,0.417178
internalMesh,106,0.015519,0,0.119942,9,9.0008,-1.17538e-08,-1.23885e-07,0.413217,0.413217
internalMesh,107,0.015519,0,0.12222,9,9.00083,-1.20888e-08,-1.24881e-07,0.412303,0.412303
internalMesh,108,0.015519,0,0.12222,9,9.00083,-1.20888e-08,-1.24881e-07,0.412303,0.412303
internalMesh,109,0.015519,0,0.123356,9,9.00084,-1.22611e-08,-1.25215e-07,0.411799,0.411799
internalMesh,110,0.015519,0,0.123356,9,9.00084,-1.22611e-08,-1.25215e-07,0.411799,0.411799
internalMesh,111,0.015519,0,0.123356,9,9.00084,-1.22611e-08,-1.25215e-07,0.411799,0.411799
internalMesh,112,0.015519,0,0.134343,9,9.001,-1.39269e-08,-1.28442e-07,0.406927,0.406927
internalMesh,113,0.015519,0,0.146439,9,9.00119,-1.57844e-08,-1.30323e-07,0.401053,0.401053
internalMesh,114,0.015519,0,0.146439,9,9.00119,-1.57844e-08,-1.30323e-07,0.401053,0.401053
internalMesh,115,0.015519,0,0.158504,9,9.0014,-1.76278e-08,-1.30629e-07,0.394684,0.394684
internalMesh,116,0.015519,0,0.158504,9,9.0014,-1.76278e-08,-1.30629e-07,0.394684,0.394684
internalMesh,117,0.015519,0,0.170536,9,9.00162,-1.94234e-08,-1.29489e-07,0.387827,0.387827
internalMesh,118,0.015519,0,0.170536,9,9.00162,-1.94234e-08,-1.29489e-07,0.387827,0.387827
internalMesh,119,0.015519,0,0.182533,9,9.00185,-2.11361e-08,-1.27053e-07,0.380485,0.380485
internalMesh,120,0.015519,0,0.182533,9,9.00185,-2.11361e-08,-1.27053e-07,0.380485,0.380485
internalMesh,121,0.015519,0,0.182533,9,9.00185,-2.11361e-08,-1.27053e-07,0.380485,0.380485
internalMesh,122,0.015519,0,0.190754,9,9.00202,-2.22334e-08,-1.24605e-07,0.375108,0.375108
internalMesh,123,0.015519,0,0.194491,9,9.0021,-2.27322e-08,-1.23492e-07,0.372663,0.372663
internalMesh,124,0.015519,0,0.194491,9,9.0021,-2.27322e-08,-1.23492e-07,0.372663,0.372663
internalMesh,125,0.015519,0,0.198336,9,9.00218,-2.31992e-08,-1.22037e-07,0.369988,0.369988
